index,language,lable
1,leather hi this ,hindi
2,you should stop ,english
3,janavari jun  ,telugu
4,rajkottil melnilaik kalvi ,tamil
5,dheani enna sthalattekkuriccariyan ,malayalam
6,antrajnana adhunikateya pravadalli ,kannada
7,is non leather ,hindi
8,this right away ,english
9,hindi sini natudu. ,telugu
10,payinrapotu kanti tan ,tamil
11,see dheani palakkat ,malayalam
12,navu prakrtiyinda tumba ,kannada
13,man bro matlab ,hindi
14,tia sorry ta ,english
15,raj‌put tana vrttini ,telugu
16,ciruvayatileye niccayikkappatta kasturpavai ,tamil
17,tala mahendra sin ,malayalam
18,"dura sarididdeve, enantira ",kannada
19,bina animal skin ,hindi
20,but i was ,english
21,telivijan dharavahikalato prarambhincadu. ,telugu
22,manantukontar. mokantas kantiyin ,tamil
23,dheani dhoni at ,malayalam
24,hita mitavagi baasidare ,kannada
25,ke leathers air ,hindi
26,really sad i ,english
27,lo star plas ,telugu
28,vatu vayatil avarin ,tamil
29,reebok eventjpg vyaktigata ,malayalam
30,viavu arogya kouvudu ,kannada
31,shocks mujhe bachpan ,hindi
32,don't have one ,english
33,lo vaccina kis ,telugu
34,tantai karamcant uttamcant ,tamil
35,vivarannal muluvan per ,malayalam
36,atiyagi baasidare amrtavu ,kannada
37,me i am ,hindi
38,but my friends ,english
39,des meyi hai ,telugu
40,kanti maranamataintar.mokantacu karamcant ,tamil
41,mahendra sin dheani ,malayalam
42,mrtyuvannu taruvudu. yavude ,kannada
43,saketh part time ,hindi
44,do i just ,english
45,mera dil ane ,telugu
46,kanti ankilam: mohandas ,tamil
47,vilipper mahi uyaram ,malayalam
48,agali ati adaga ,kannada
49,job college kahan ,hindi
50,feel left out ,english
51,siriyal lo tolisariga ,telugu
52,karamchand gandhi kucaratti: ,tamil
53, ati  ,malayalam
54,adara upayogakkinta apayave ,kannada
55,tak mujhe mahua ,hindi
56,it's okay tofu ,english
57,natincadu. dani taruvata ,telugu
58,mohanadasa karamacanda gandhi ,tamil
59,mi barring riti ,malayalam
60,heccaguttahoguttade. idara jvalanta ,kannada
61,is is dharti ,hindi
62,i can understand ,english
63,ji tivi siriyal ,telugu
64,aktopar   ,tamil
65,righthand batsman baling ,malayalam
66,nidarsana nam'ma tantrajnadamele ,kannada
67,par ahimsa paramo ,hindi
68,that you are ,english
69,pavitra rista  ,telugu
70, janavari  ,tamil
71,riti righthand medium ,malayalam
72,atiyada avalambane hagu ,kannada
73,dharma ka janm ,hindi
74,sad but wishing ,english
75,lo natincadu. raj‌put ,telugu
76, makatma kanti ,tamil
77,real wicketkeeper captain ,malayalam
78,karyagalige tantrajnanada balake. ,kannada
79,wo jis desh ,hindi
80,bad for others ,english
81, lo vidudalaina ,telugu
82,enru anputan alaikkappatukirar. ,tamil
83,antarastra talattil desiya ,malayalam
84,"banni nam'ma hiriyaru, ",kannada
85,me shasta aur ,hindi
86,is not good ,english
87,kay po ce ,telugu
88,intiya vitutalaip porattattai ,tamil
89,tim intya adya ,malayalam
90,rsigalu nam'ma jivana ,kannada
91,itihas me animals ,hindi
92,we should always ,english
93,citranto venditaruku mottamodataga ,telugu
94,verrikaramaka talaimaiyerru natattiyatan ,tamil
95,tesrr kyap  ,malayalam
96,saili yannu vaijnanikavagi ,kannada
97,ko salman desh ,hindi
98,think good for ,english
99,paricayamayyadu. em.es.dhoni: di ,telugu
100,karanamaka ivar vitutalai ,tamil
101, disambar  ,malayalam
102,hege nirvahisabeku andaridaguva ,kannada
103,ke leather industry ,hindi
104,others come i'll ,english
105,antold stori sinimalo ,telugu
106,perra intiyavin tantai ,tamil
107,v srilanka adya ,malayalam
108,labhagalenu annodannatiliyona antaha ,kannada
109,aaj tak animals ,hindi
110,tell you a ,english
111,tana patraki uttama ,telugu
112,enru alaikkappatukirar. cattiyakkirakam ,tamil
113,ekadinam kyap disambar ,malayalam
114,ottadada adiyalli nirvahisalu ,kannada
115,par hone wale ,hindi
116,story about a ,english
117,natudiga philimpher avarduku ,telugu
118,enralaikkappatta ivaratu aravalip ,tamil
119,v banglades ekadina ,malayalam
120,"sadhyavaguttade, antaha ottadadalli ",kannada
121,cruelty par koi ,hindi
122,fox who became ,english
123,tana modati naminesan ,telugu
124,porattam intiya nattu ,tamil
125,jelsi nam  ,malayalam
126,talupisalu nivu samayada ,kannada
127,totka dum nahi ,hindi
128,a laughingstock amongst ,english
129,andukunnadu.  lo ,telugu
130,vitutalaikku vali vakuttatutan ,tamil
131,pradesika talattil varsam ,malayalam
132,avadhiyalli misalada gantegala ,kannada
133,uthaya jab goraksh ,hindi
134,his friends just ,english
135,vidudalaina kedarnath  ,telugu
136,marra cila nattu ,tamil
137,tim   ,malayalam
138,abhyasavannu madabekaguttade nirargalavagi ,kannada
139,kitane tokyo haggai ,hindi
140,because he was ,english
141,lo vaccina cicore ,telugu
142,vitutalai iyakkankalukkum oru ,tamil
143, bihar  ,malayalam
144,matanaduva visayakke bandaga ,kannada
145,murthy qa sketch ,hindi
146,very selfish the ,english
147,sinimalato vanijya vijayam ,telugu
148,valikattiyaka amaintatu.  ,tamil
149,jharkhand  chennai ,malayalam
150,sthaliya inglis matanaduva ,kannada
151,amarisse jhoothe purser ,hindi
152,fox without a ,english
153,pondadu. mahila entar‌pren ,telugu
154, ivaratu piranta ,tamil
155,super kings kariyar ,malayalam
156,siksakarondige ondu taragatigala ,kannada
157,belt bunty itna ,hindi
158,tail one day ,english
159,yur‌sip plat‌pham dablyu ,telugu
160,nal intiyavil kanti ,tamil
161,sthitivivarannal matsarannal tesrr ,malayalam
162,mulaka heccina janaru ,kannada
163,fabrics ke option ,hindi
164,a fox was ,english
165,ipi nu protsahincadaniki ,telugu
166,jeyanti enru kontatappatukiratu.mokantas ,tamil
167,ekadinam first class ,malayalam
168,"bhayabhitaraguttare, visesavagi kelavu ",kannada
169,phir bhi chahe ,hindi
170,walking in a ,english
171,bharata prabhutva palasi ,telugu
172,kanti  aktopar ,tamil
173,list a kalikal ,malayalam
174,kathina paristhitigalalli bauling ,kannada
175,chandi need nahin ,hindi
176,forest suddenly he ,english
177,think tyank en‌aiti ,telugu
178, anru intiya ,tamil
179,netiya rans barring ,malayalam
180,spin‌nante inglis‌nalli matanaduva ,kannada
181,aaye yeah marry ,hindi
182,heard a huge ,english
183,ai ayog ayanato ,telugu
184,nattin kujarat manilattilulla ,tamil
185,sarasari kalkal uyarnna ,malayalam
186,vatavaranavilladiddare adannu karagata ,kannada
187,grade pay na ,hindi
188,snap and in ,english
189,oppandam kudurcukunnaru. natana ,telugu
190,porpantar enum uril ,tamil
191,skear erinna pantukal ,malayalam
192,madikolluva ekaika margavagide ,kannada
193,bande shocks mera ,hindi
194,and immediate reaction ,english
195,insay vencars ane ,telugu
196,pirantar. ivaratu tay ,tamil
197,vikkarrukal baling sarasari ,malayalam
198,ade riti nirargalavagi ,kannada
199,naam hai pankaj ,hindi
200,he jumped something ,english
201,kampeni nadapatanto patu ,telugu
202,moli ka kantiyin ,tamil
203,inningsil  vikkarr ,malayalam
204,inglis matanaduva nirantara ,kannada
205,kavya amarjyothi squash ,hindi
206,awful happened to ,english
207,yuva vidyarthulaku sahayam ,telugu
208,tantaiyin peyar karamcant ,tamil
209,matsarattil vikkarr mikacca ,malayalam
210,abhyasavu nim'mannu nirantaravagi ,kannada
211,namaste mera naam ,hindi
212,the poor little ,english
213,ceyataniki raj‌put susantedyukesan ,telugu
214,uttamcant kanti; tayar ,tamil
215,baling kyaccukalsrram‌ping uravitam ,malayalam
216,mattu niyamitavagi sandarbhagalalli ,kannada
217,hai bharat ram ,hindi
218,thing he found ,english
219,lanti karyakramalalo utsahanga ,telugu
220,peyar putlipay akum. ,tamil
221,disambar  mahendra ,malayalam
222,irisikolluva agatyaviruttade kambli ,kannada
223,ka naam rikki ,hindi
224,his tail stuck ,english
